iShares MSCI ACWI ETF
Fund Holdings as of,"Dec 24, 2024"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"163,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TD","TORONTO DOMINION","Financials","Equity","22,814,220.32","0.12","22,814,220.32","430,468.00","53.00","Canada","Toronto Stock Exchange","USD","1.44","CAD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","22,767,579.47","0.12","22,767,579.47","425,801.00","53.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIR","AIRBUS GROUP","Industrials","Equity","22,618,313.59","0.12","22,618,313.59","141,601.00","159.73","France","Nyse Euronext - Euronext Paris","USD","0.96","EUR","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","22,534,379.76","0.12","22,534,379.76","178,476.00","126.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","22,368,466.26","0.11","22,368,466.26","291,294.00","76.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENB","ENBRIDGE INC","Energy","Equity","22,280,577.29","0.11","22,280,577.29","533,247.00","41.78","Canada","Toronto Stock Exchange","USD","1.44","CAD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","22,130,482.95","0.11","22,130,482.95","23,295.00","950.01","United States","NASDAQ","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","22,114,239.84","0.11","22,114,239.84","265,924.00","83.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Equity","22,082,413.88","0.11","22,082,413.88","928,500.00","23.78","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","22,044,919.42","0.11","22,044,919.42","137,439.00","160.40","France","Nyse Euronext - Euronext Paris","USD","0.96","EUR","-"
"KLAC","KLA CORP","Information Technology","Equity","21,535,145.12","0.11","21,535,145.12","33,104.00","650.53","United States","NASDAQ","USD","1.00","USD","-"
"REL","RELX PLC","Industrials","Equity","21,501,843.32","0.11","21,501,843.32","474,056.00","45.36","United Kingdom","London Stock Exchange","USD","0.80","GBP","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","21,491,478.94","0.11","21,491,478.94","299,909.00","71.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBN","ABB LTD","Industrials","Equity","21,459,802.99","0.11","21,459,802.99","393,008.00","54.60","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
